id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,7.0,0.58,0.0,3.0,0.078,17.0,45.0,0.99492,3.36,0.93,10.5,5.0
1,7.8,0.55,0.12,7.5,0.087,6.0,17.0,0.9982,3.22,0.62,9.2,3.0
2,7.6,0.62,0.0,1.9,0.065,6.0,35.0,0.9964,3.58,0.77,9.4,6.0
3,10.2,0.32,0.49,2.6,0.066,5.0,20.0,0.99606,3.21,0.7,11.3,5.0
4,7.5,0.61,0.03,2.2,0.09,15.0,49.0,0.9956,3.53,0.58,9.7,5.0
5,6.5,0.42,0.26,1.8,0.075,9.0,28.0,0.9988,3.43,0.48,11.2,6.0
6,7.9,0.615,0.02,1.7,0.086,13.0,38.0,0.99723,3.51,0.61,10.9,6.0
7,7.4,0.48,0.3,2.2,0.077,24.0,42.0,0.99458,3.14,0.58,12.4,7.0
8,8.2,0.57,0.21,2.4,0.079,32.0,49.0,0.9962,3.34,0.6,10.8,6.0
9,6.3,0.38,0.3,1.9,0.0559999999999999,8.0,17.0,0.99656,3.27,0.55,9.3,5.0
10,7.0,0.18,0.49,2.6,0.075,7.0,11.0,0.999,3.13,0.89,9.5,5.0
11,7.1,0.59,0.23,2.1,0.078,12.0,31.0,0.9978,3.26,0.54,11.3,7.0
12,11.3,0.36,0.44,2.4,0.077,5.0,13.0,0.9982,3.18,0.62,9.8,6.0
13,6.0,0.59,0.0,2.2,0.073,10.0,29.0,0.9991,3.45,0.54,10.5,6.0
14,7.0,0.52,0.04,2.5,0.076,25.0,40.0,0.9982,3.47,0.55,9.3,5.0
15,10.9,0.41,0.66,1.7,0.095,17.0,28.0,0.9971,3.07,0.6,9.2,5.0
16,6.8,0.4,0.0,2.1,0.078,6.0,18.0,0.99516,3.46,0.62,10.0,5.0
17,6.7,0.54,0.11,2.1,0.081,24.0,41.0,0.99521,3.24,0.44,10.6,5.0
18,6.5,0.735,0.0,2.1,0.074,15.0,36.0,0.99603,3.23,0.56,10.1,5.0
19,7.3,0.49,0.32,2.1,0.103,12.0,19.0,0.9955,3.3,0.55,11.6,5.0
20,7.0,0.43,0.24,2.0,0.077,7.0,19.0,0.9976,3.2,0.6,9.9,5.0
21,7.7,0.48,0.26,2.1,0.071,10.0,19.0,0.9961,3.32,0.57,9.5,6.0
22,7.9,0.42,0.39,3.3,0.0969999999999999,6.0,15.0,0.99484,3.18,0.49,10.5,6.0
23,7.8,0.55,0.24,2.2,0.074,9.0,42.0,0.99572,3.42,0.64,9.5,5.0
24,5.7,0.57,0.0,2.2,0.067,5.0,13.0,0.9959,3.57,0.62,11.4,6.0
25,6.2,0.65,0.03,2.0,0.084,18.0,29.0,0.9968,3.58,0.54,9.5,6.0
26,8.1,0.31,0.59,2.2,0.095,6.0,28.0,0.9994,3.39,0.57,9.6,5.0
27,8.3,0.36,0.3,2.1,0.085,15.0,86.0,0.9988,3.19,0.59,9.5,7.0
28,8.1,0.55,0.17,1.8,0.079,4.0,10.0,0.9972,3.45,0.6,11.3,7.0
29,6.0,0.61,0.0,2.2,0.07,8.0,19.0,0.9976,3.51,0.48,10.3,6.0
30,7.7,0.78,0.0,1.8,0.074,21.0,56.0,0.9964,3.37,0.55,9.8,5.0
31,9.1,0.61,0.21,1.9,0.072,15.0,49.0,0.9974,3.27,0.55,9.8,5.0
32,10.3,0.34,0.41,2.3,0.096,32.0,64.0,0.9991,3.21,0.82,9.2,5.0
33,8.2,0.5,0.44,2.4,0.114,10.0,18.0,0.99693,3.34,0.5,13.1,5.0
34,9.9,0.57,0.27,2.0,0.065,10.0,28.0,0.99516,3.35,0.78,11.3,5.0
35,7.7,0.6,0.07,1.6,0.098,7.0,17.0,0.99498,3.3,0.64,11.1,6.0
36,6.6,0.59,0.06,1.7,0.077,6.0,23.0,0.99572,3.39,0.6,12.5,6.0
37,8.4,0.32,0.49,1.8,0.08,20.0,110.0,0.997,3.32,0.83,9.8,6.0
38,7.1,0.59,0.01,1.4,0.071,26.0,63.0,0.9988,3.32,0.67,9.9,5.0
39,9.1,0.34,0.37,2.6,0.073,6.0,16.0,0.99586,3.22,0.86,11.7,6.0
40,6.6,0.49,0.21,2.4,0.086,14.0,58.0,0.9959,3.22,0.6,9.1,5.0
41,7.3,0.685,0.0,2.1,0.077,20.0,49.0,0.99622,2.99,0.56,12.4,7.0
42,6.8,0.52,0.06,1.9,0.076,4.0,11.0,0.9967,3.35,0.61,10.0,6.0
43,9.0,0.24,0.43,1.9,0.08,17.0,42.0,0.9976,3.3,0.6,10.9,6.0
44,7.6,0.6,0.2,2.3,0.074,26.0,48.0,0.99672,3.36,0.87,10.0,6.0
45,6.9,0.54,0.02,1.4,0.073,5.0,14.0,0.99557,3.44,0.62,9.1,6.0
46,10.1,0.35,0.49,2.0,0.09,6.0,12.0,0.9997,3.3,0.55,9.5,5.0
47,8.2,0.38,0.4,2.0,0.084,5.0,17.0,0.99538,3.33,0.57,11.4,8.0
48,10.8,0.38,0.37,2.8,0.079,5.0,12.0,0.9972,3.3,0.77,9.6,6.0
49,9.6,0.31,0.51,2.5,0.074,5.0,19.0,0.9996,3.26,0.68,9.0,5.0
50,8.5,0.31,0.41,1.7,0.0819999999999999,4.0,10.0,0.99648,3.26,0.57,10.5,7.0
51,7.9,0.4,0.14,2.6,0.0579999999999999,26.0,46.0,0.9978,3.38,0.53,10.6,6.0
52,6.9,0.57,0.16,2.0,0.0969999999999999,30.0,133.0,0.9971,3.5,0.52,9.8,5.0
53,6.9,0.31,0.31,1.9,0.067,6.0,14.0,0.99745,3.37,0.56,11.6,7.0
54,7.4,0.6,0.14,2.1,0.078,14.0,28.0,0.9964,3.24,0.54,9.5,5.0
55,8.1,0.36,0.24,2.4,0.095,21.0,36.0,0.99622,3.22,0.78,9.4,6.0
56,7.5,0.49,0.18,2.5,0.089,9.0,22.0,0.9964,3.17,0.59,12.5,6.0
57,7.9,0.6,0.02,1.8,0.09,29.0,52.0,0.99572,3.2,0.54,9.8,6.0
58,7.9,0.67,0.0,2.1,0.067,16.0,43.0,0.9958,3.41,0.57,9.5,5.0
59,8.3,0.54,0.0,2.0,0.073,23.0,42.0,0.9991,3.5,0.59,9.8,5.0
60,7.1,0.69,0.1,2.5,0.072,7.0,22.0,0.9973,3.27,0.6,9.6,6.0
61,8.0,0.885,0.0,2.0,0.0819999999999999,6.0,15.0,0.9962,3.52,0.6,11.8,7.0
62,7.3,0.24,0.36,1.7,0.11,12.0,47.0,0.9952,3.28,0.67,9.3,5.0
63,7.2,0.38,0.3,2.1,0.059,18.0,44.0,0.9988,3.29,0.49,9.7,5.0
64,8.8,0.6,0.03,1.9,0.093,9.0,28.0,0.9964,3.33,0.56,9.3,5.0
65,9.7,0.33,0.44,2.7,0.08,10.0,22.0,0.99746,3.21,0.65,10.8,5.0
66,6.6,0.655,0.11,1.9,0.077,26.0,65.0,0.9965,3.47,0.57,10.7,5.0
67,6.8,0.52,0.24,1.9,0.123,8.0,29.0,0.997,3.22,0.47,9.5,5.0
68,10.8,0.56,0.39,3.0,0.074,7.0,50.0,0.9968,3.48,0.63,9.2,6.0
69,7.5,0.34,0.02,3.0,0.0969999999999999,15.0,27.0,0.99732,3.51,0.72,10.5,6.0
70,6.9,0.6,0.0,2.2,0.0579999999999999,7.0,18.0,0.99774,3.52,0.62,10.5,5.0
71,8.8,0.545,0.19,1.7,0.0819999999999999,12.0,35.0,0.9966,3.3,0.51,9.5,5.0
72,8.7,0.5,0.45,1.9,0.081,9.0,17.0,0.99786,3.22,0.66,12.5,6.0
73,6.6,0.46,0.0,1.6,0.099,18.0,42.0,0.99258,3.35,0.56,10.6,6.0
74,7.3,0.51,0.23,2.2,0.075,15.0,20.0,0.99388,3.34,0.65,11.1,7.0
75,8.3,0.48,0.49,2.9,0.074,25.0,49.0,0.9966,3.43,0.58,10.6,5.0
76,7.7,0.52,0.08,1.7,0.078,5.0,20.0,0.9978,3.21,0.56,9.5,6.0
77,6.1,0.52,0.01,2.1,0.066,3.0,15.0,0.99652,3.3,0.58,11.2,6.0
78,9.5,0.42,0.43,2.0,0.071,10.0,17.0,0.99672,3.23,0.53,9.4,5.0
79,9.3,0.45,0.33,2.6,0.064,6.0,13.0,0.9976,3.24,0.73,11.7,7.0
80,8.5,0.61,0.4,2.1,0.076,27.0,53.0,0.9964,3.33,0.64,10.5,6.0
81,9.3,0.36,0.34,2.2,0.0819999999999999,5.0,24.0,0.9988,3.25,0.71,10.4,6.0
82,9.1,0.29,0.39,2.1,0.079,6.0,24.0,0.9972,3.15,0.73,9.3,5.0
83,7.9,0.49,0.09,2.3,0.084,12.0,21.0,0.9972,3.39,0.57,11.3,6.0
84,8.3,0.57,0.33,2.5,0.084,6.0,12.0,0.9973,3.09,0.76,9.6,5.0
85,8.6,0.52,0.09,2.2,0.08,4.0,10.0,0.9967,3.26,0.57,9.5,5.0
86,5.2,0.59,0.0,1.6,0.094,8.0,12.0,0.99258,3.44,0.48,9.6,6.0
87,10.8,0.635,0.66,2.2,0.074,23.0,54.0,1.0014,3.04,0.67,11.0,5.0
88,6.8,0.835,0.0,2.0,0.066,13.0,47.0,0.9981,3.58,0.64,9.9,5.0
89,7.0,0.34,0.49,2.8,0.099,6.0,10.0,0.99538,3.31,0.6,9.5,5.0
90,9.4,0.55,0.33,2.3,0.08,3.0,16.0,0.99572,3.29,0.78,10.9,6.0
91,8.4,0.39,0.24,2.1,0.08,27.0,52.0,0.99708,3.32,0.66,11.0,6.0
92,7.8,0.57,0.01,2.6,0.068,13.0,42.0,0.9987,3.2,0.52,10.5,6.0
93,9.2,0.38,0.39,1.8,0.077,6.0,13.0,0.9968,3.16,0.56,9.4,5.0
94,7.0,0.58,0.09,1.7,0.07,5.0,15.0,0.9965,3.19,0.53,9.5,5.0
95,7.8,0.5,0.14,2.0,0.071,26.0,64.0,0.99688,3.4,0.61,9.8,5.0
96,6.6,0.74,0.0,1.7,0.074,11.0,45.0,0.9963,3.41,0.68,9.5,5.0
97,7.3,0.47,0.06,2.0,0.076,6.0,14.0,0.997,3.19,0.54,9.5,5.0
98,10.4,0.32,0.45,2.0,0.074,18.0,44.0,0.9972,3.26,0.52,9.5,6.0
99,7.0,0.51,0.02,1.9,0.088,16.0,48.0,0.997,3.59,0.57,9.7,6.0
100,8.7,0.58,0.2,1.7,0.08,21.0,46.0,0.99652,3.12,0.6,10.2,7.0
101,7.8,0.58,0.01,2.4,0.078,11.0,31.0,0.9974,3.42,0.59,9.5,6.0
102,7.0,0.63,0.0,1.7,0.068,15.0,28.0,0.9978,3.34,0.44,9.2,5.0
103,6.4,0.41,0.24,2.0,0.069,12.0,47.0,0.99622,3.46,0.63,10.8,6.0
104,7.1,0.78,0.0,1.5,0.07,10.0,23.0,0.99504,3.22,0.58,9.6,5.0
105,8.1,0.715,0.27,3.1,0.062,6.0,31.0,0.99656,3.39,0.49,10.1,6.0
106,8.0,0.5,0.34,2.2,0.081,7.0,32.0,0.9978,3.17,0.58,9.5,5.0
107,12.5,0.28,0.54,2.0,0.069,4.0,47.0,0.9968,3.04,0.66,9.1,5.0
108,7.0,0.66,0.0,2.3,0.066,17.0,35.0,0.9978,3.27,0.71,11.3,6.0
109,7.2,0.36,0.3,2.1,0.07,12.0,35.0,0.9982,3.39,0.56,9.7,6.0
110,6.7,0.715,0.06,1.9,0.077,15.0,28.0,0.99557,3.37,0.73,11.0,4.0
111,7.6,0.6,0.0,1.8,0.0819999999999999,14.0,35.0,0.99467,3.07,0.52,9.4,5.0
112,6.6,0.59,0.21,2.3,0.095,12.0,24.0,0.9986,3.49,0.54,11.9,5.0
113,8.2,0.43,0.22,1.8,0.07,15.0,28.0,0.9966,3.32,0.73,11.8,6.0
114,10.3,0.58,0.1,1.9,0.078,6.0,16.0,0.9965,3.19,0.58,9.2,6.0
115,9.2,0.37,0.34,2.0,0.078,6.0,13.0,0.9997,3.37,0.63,9.6,5.0
